,Index,item,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,rating,char_length
1,1, I laugh aloud.,0,0,0,0,1,0,1,0,0,1,3.490566038,15
2,2, I amuse my friends.,0,0,0,0,1,0,0,0,0,1,3.886792453,20
3,3, I rarely feel excited or eager.,0,2,0,0,2,0,2,2,0,2,1.905660377,32
4,4, I follow a schedule.,0,0,0,0,0,0,0,0,0,0,4.735849057,21
5,5, I keep my emotions under control.,0,0,0,0,0,0,0,0,0,0,4.924528302,34
6,6, I am suspicious of others' intentions.,1,1,0,0,0,0,0,0,1,0,2.264150943,39
7,7, I make myself the center of attention.,0,0,0,0,0,0,0,1,0,2,2.264150943,39
8,8, I jump into things without thinking.,0,0,0,0,1,0,0,0,0,1,1.245283019,37
9,9, I love large parties.,0,0,0,0,1,0,0,0,0,1,3.169811321,22
10,10," I am compassionate, having a soft heart.",0,0,0,0,0,0,0,0,0,1,4.358490566,41
11,11, I believe that there is no absolute right and wrong.,0,0,0,0,0,0,0,0,1,1,3.245283019,53
12,12, I dislike routine.,1,0,1,0,0,0,0,1,1,1,1.79245283,19
13,13, I neglect my duties.,0,0,0,0,0,0,0,0,1,0,0.528301887,21
14,14, I fear for the worst.,1,0,0,1,0,0,0,0,1,0,1.603773585,22
15,15, I am easily distracted.,1,0,0,0,0,0,0,0,1,0,1.018867925,24
16,16, I enjoy thinking about things.,0,1,0,0,1,0,0,1,0,1,4.706896552,31
17,17, I have excellent ideas.,0,0,0,0,1,0,0,1,0,1,5.396551724,24
18,18, I am not interested in other people's problems.,0,0,1,0,0,1,0,0,0,1,1.689655172,48
19,19, I am sometimes rude to others.,0,0,0,0,0,0,0,0,0,0,0.862068966,31
20,20, I plunge into tasks with all my heart.,0,0,0,1,0,0,0,0,1,0,4.965517241,39
21,21, I go on binges.,0,0,0,0,0,0,0,0,0,0,1.482758621,16
22,22, I like a leisurely lifestyle.,0,0,0,0,0,0,0,0,0,1,2.706896552,30
23,23, I can handle complex problems.,0,0,0,0,0,0,0,0,0,0,5.275862069,31
24,24, I have difficulty imagining things.,1,0,0,1,0,1,0,0,1,0,1.551724138,36
25,25, I can manage many things at the same time.,0,1,0,0,0,0,0,1,0,1,4.982758621,43
26,26, I am quiet around strangers.,0,0,0,0,0,1,0,0,0,1,2.310344828,29
27,27, I continue until everything is perfect.,0,2,0,0,1,0,0,2,0,2,4.448275862,40
28,28, I have an assertive personality.,0,0,0,0,0,0,0,0,0,0,4.068965517,33
29,29, I am indifferent to the feelings of others.,0,0,0,0,0,0,0,0,0,0,1.655172414,44
30,30, I think of others first.,0,0,0,0,0,0,0,0,0,0,4.465517241,25
31,31, I dislike changes.,1,0,1,0,0,0,0,0,1,0,1.618181818,19
32,32, I am interested in many things.,0,0,1,0,0,1,0,0,0,1,4.654545455,32
33,33, I finish what I start.,0,1,0,0,0,0,0,0,0,0,5.472727273,23
34,34, I suspect hidden motives in others.,0,0,0,1,0,0,0,0,2,0,1.890909091,36
35,35, I value cooperation over competition.,0,1,0,0,0,0,0,1,1,1,4.618181818,38
36,36, I can be tense.,0,0,0,0,0,0,0,0,0,0,1.8,16
37,37, I know the answers to many questions.,0,0,0,0,0,0,0,0,0,0,4.436363636,38
38,38, I dislike talking about myself.,1,0,1,0,0,0,0,0,1,0,3.072727273,32
39,39, I feel comfortable with myself.,0,0,0,0,0,0,0,0,0,0,4.854545455,32
40,40, I learn things slowly.,0,0,0,0,0,0,0,0,0,1,1.2,23
41,41, I do things according to a plan.,0,1,0,0,0,0,0,0,0,0,4.709090909,33
42,42, I am often in a bad mood.,1,0,1,1,0,1,0,0,1,0,0.618181818,26
43,43, I am full of energy.,0,0,0,0,0,0,0,0,0,1,4.8,21
44,44, I act comfortably with others.,0,0,0,0,0,0,0,0,0,0,5.090909091,31
45,45, I like to take it easy.,0,0,0,0,0,0,0,0,0,0,2.545454545,24
46,46," I am persistent, working until the task is finished.",0,0,0,0,0,0,0,0,0,3,5.338709677,53
47,47, I enjoy being part of a group.,0,1,0,0,1,0,0,1,0,1,4.919354839,31
48,48, I contradict others.,1,0,0,0,0,0,0,0,1,0,1.516129032,21
49,49, I often feel blue.,0,0,0,0,0,1,0,0,0,0,1.290322581,19
50,50, I catch on to things quickly.,0,0,0,0,0,0,1,0,0,0,5.241935484,30
51,51, I am very pleased with myself.,0,0,0,0,1,0,0,0,0,1,3.983870968,31
