Index,item,rating
1,Abuse people's confidences.,1
2,Accept apologies easily.,4
3,Accept challenging tasks.,4.666666667
4,Accept little from others.,3.666666667
5,Accept others' weaknesses.,4
6,Accept people as they are.,4.333333333
7,Accept the consequences of my actions.,4.333333333
8,Accept the first thing that comes along.,2.666666667
9,Accept what others say.,3.333333333
10,Accomplish a lot of work.,4.666666667
11,Accomplish my work on time.,5
12,Acknowledge others' accomplishments.,4.666666667
13,Acquire skills quickly.,5
14,Act according to my conscience.,4.333333333
15,Act according to my own feelings.,2.333333333
16,Act as a leader.,4.666666667
17,Act as I please.,1.333333333
18,Act as if I’m somebody else and completely identify myself with the part.,2
19,Act as if I'm constantly on stage.,2.333333333
20,Act as if some laws do not apply to me.,1.333333333
21,Act at the expense of others.,1
22,Act before thinking through the consequences.,3.666666667
23,Act comfortably with others.,4.333333333
24,Act contrary to reason.,1
25,Act impulsively when something is bothering me.,1.333333333
26,Act like different people in different situations.,3.666666667
27,Act like people older than me.,3.333333333
28,Act like people younger than me.,2.333333333
29,Act or feel in a way that does not fit me.,1.666666667
30,Act out my frustrations on others.,1
31,Act properly in most situations.,4.333333333
32,Act quickly without thinking.,2.333333333
33,Act spontaneously without thinking about the consequences.,1.333333333
34,Act wild and crazy.,1
35,Act with hesitation.,2.666666667
36,Act without consulting others.,1.666666667
37,Act without planning.,1.666666667
38,Act without thinking.,1.333333333
39,Act without ulterior motives.,3
40,Actually get cold when I think of something cold.,3
41,Adapt easily to new situations.,5
42,Adjust easily.,4.333333333
43,Admire a really clever scam.,2.666666667
44,"Admire people who own expensive homes, cars, or clothes.",2.666666667
45,Admit mistakes.,4.666666667
46,Admit when I am wrong.,4.666666667
47,Agree to anything.,2
48,Allow others to make a fresh start.,4
49,Allow others to walk all over me.,1.333333333
50,Always admit it when I make a mistake.,4.666666667
51,Always know what I am doing.,4
52,Always know why I do things.,4.666666667
53,Always need to know who my partner is with.,2.666666667
54,Always seem to be losing things.,1.666666667
55,Am a bad loser.,1
56,Am a bitter person.,1
57,Am a brave person.,4.666666667
58,Am a bully.,1
59,Am a chronic liar.,1
60,Am a cold-hearted person.,1.333333333
61,Am a corrupt person.,1
62,Am a cranky person.,1.666666667
63,Am a creature of habit.,3.666666667
64,Am a domineering person.,2.333333333
65,Am a firm believer in thinking things through.,4.333333333
66,Am a flamboyant person.,2.333333333
67,Am a generally obedient person.,3
68,"Am a ""glass is half empty"" kind of person",1.666666667
69,Am a goal-oriented person.,4.666666667
70,Am a good judge of character.,4.666666667
71,Am a good listener.,5
72,Am a good loser.,4
73,Am a guilty person.,1.666666667
74,Am a hard person to read.,2
75,Am a hard worker.,4.666666667
76,Am a highly disciplined person.,5
77,Am a jealous person.,1.666666667
78,Am a large-sized person.,2.666666667
79,Am a law-abiding citizen.,4.333333333
80,Am a lonely person.,2.333333333
81,Am a manipulative person.,1
82,Am a mean-spirited person.,1
83,Am a money-grubber.,1.666666667
84,Am a naturally good dancer.,3.333333333
85,Am a neat freak.,2.666666667
86,Am a negative type of person.,1.333333333
87,"Am a ""people person.""",4.333333333
88,Am a perfectionist.,3
89,Am a person whose moods go up and down easily.,1.333333333
90,Am a pessimistic person.,1.666666667
91,Am a physical coward.,2.333333333
92,Am a rebel.,2.333333333
93,Am a sadistic person.,1
94,Am a seductive person.,2.333333333
95,Am a shy person,2.666666667
96,Am a small-sized person.,2.666666667
97,Am a spiritual person.,3.333333333
98,Am a strange person.,2.666666667
99,Am a submissive person.,2.333333333
100,Am a true life-long learner.,5
101,Am a very good scam artist.,1.666666667
102,Am a very private person.,2.333333333
103,Am a very reliable person.,4.666666667
104,Am a vindictive person.,1.666666667
105,"Am a workaholic, with little time for fun or pleasure.",2.333333333
106,Am able to calm myself down quite quickly when upset.,4.333333333
107,Am able to come up with new and different ideas.,4.666666667
108,Am able to control my cravings.,4.333333333
109,Am able to cooperate with others.,4.666666667
110,Am able to describe my feelings easily.,3.666666667
111,Am able to disregard rules.,2
112,Am able to do most things well enough.,4.333333333
113,"Am able to do what I should do, even when I feel scared.",4.666666667
